DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:37:50,40.0,8.0,13.0,1391.0,507.0,20.45,21.66,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:39:50,40.0,8.0,13.0,1383.0,505.0,20.44,21.65,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:41:50,41.0,8.0,13.0,1393.0,507.0,20.44,21.67,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:43:50,41.0,7.0,12.0,1399.0,510.0,20.42,21.67,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:45:50,41.0,8.0,13.0,1396.0,508.0,21.8,21.67,0.0,40.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:47:51,41.0,7.0,12.0,1399.0,506.0,20.41,21.66,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:49:50,41.0,8.0,13.0,1390.0,506.0,21.77,21.68,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:51:50,41.0,7.0,11.0,1382.0,505.0,23.16,21.67,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:53:51,41.0,7.0,12.0,1384.0,502.0,20.38,21.66,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:55:51,41.0,8.0,13.0,1396.0,504.0,20.38,21.67,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:57:51,41.0,8.0,13.0,1388.0,502.0,20.36,21.65,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 03:59:51,40.0,7.0,12.0,1379.0,501.0,20.36,21.65,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:01:51,40.0,7.0,11.0,1379.0,501.0,23.11,21.65,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:03:51,40.0,7.0,11.0,1377.0,500.0,20.37,21.65,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:05:51,40.0,7.0,12.0,1374.0,499.0,20.36,21.63,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:07:51,41.0,7.0,12.0,1366.0,500.0,20.36,21.63,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:09:51,41.0,8.0,13.0,1369.0,498.0,20.35,21.63,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:11:51,40.0,7.0,11.0,1368.0,500.0,20.33,21.63,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:13:51,40.0,7.0,12.0,1364.0,496.0,21.71,21.62,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:15:51,40.0,7.0,12.0,1349.0,493.0,21.7,21.62,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 04:17:51,40.0,7.0,11.0,1347.0,492.0,21.7,21.61,0.0,36.0,0.0,0.0,0.0,0.0,0.0
